timestamp,bloque_id,documento_id,pagina,tipo_bloque,decision,contenido_original,contenido_final,confianza_engine,confianza_llm,confianza_usuario,comentarios,revisor
2026-08-22T01:33:13.077757,d08f543b-448e-4dac-8288-a2d9069f941a,b61ab7bc-febc-4625-8a88-af955d0da920,0,parrafo,aceptar,Springer Undergraduate Mathematics Series,Springer Undergraduate Mathematics Series,0.95,,0.95,Aceptado como está,usuario_test
2026-08-22T01:33:13.082046,bfbb37e1-c651-4b8e-b3f2-2c4f9510e520,b61ab7bc-febc-4625-8a88-af955d0da920,0,formula_inline,editar,x^2 + y^2 = z^2,x^{2} + y^{2} = z^{2},0.72,,0.88,Corregido formato LaTeX de exponentes,usuario_test
2026-08-22T01:33:13.083103,7564075d-f10f-48cf-a12a-c3cd0c68bea0,b61ab7bc-febc-4625-8a88-af955d0da920,0,parrafo,escalar,Contenido ambiguo,Contenido ambiguo,0.45,,0.0,No se puede determinar con certeza,usuario_test
2026-08-24T18:31:58.629013,bec43f68-94a4-4af6-93e1-d3b6f2642188,524251c3-e32d-4151-b9be-a42bd5f148bd,0,parrafo,aceptar,Springer Undergraduate Mathematics Series,Springer Undergraduate Mathematics Series,0.95,,0.95,Aceptado como está,usuario_test
2026-08-24T18:31:58.635050,965cd0cf-f5f5-4f1e-8924-70835dd81bb2,524251c3-e32d-4151-b9be-a42bd5f148bd,0,formula_inline,editar,x^2 + y^2 = z^2,x^{2} + y^{2} = z^{2},0.72,,0.88,Corregido formato LaTeX de exponentes,usuario_test
2026-08-24T18:31:58.635050,151728a4-1e6b-4665-a86d-cbb7c3f4618d,524251c3-e32d-4151-b9be-a42bd5f148bd,0,parrafo,escalar,Contenido ambiguo,Contenido ambiguo,0.45,,0.0,No se puede determinar con certeza,usuario_test
2026-08-24T19:56:35.818105,c6117669-1063-43ac-920b-74b5e97f9ef8,9ccecb23-7fbe-4824-8eb9-71ef94ca587a,0,parrafo,aceptar,Springer Undergraduate Mathematics Series,Springer Undergraduate Mathematics Series,0.95,,0.95,Aceptado como está,usuario_test
2026-08-24T19:56:35.824158,adf8a00a-109b-44c6-94cc-d98fed0daaeb,9ccecb23-7fbe-4824-8eb9-71ef94ca587a,0,formula_inline,editar,x^2 + y^2 = z^2,x^{2} + y^{2} = z^{2},0.72,,0.88,Corregido formato LaTeX de exponentes,usuario_test
2026-08-24T19:56:35.824158,cc0ae323-6ec9-47a5-a38b-385c8984ff93,9ccecb23-7fbe-4824-8eb9-71ef94ca587a,0,parrafo,escalar,Contenido ambiguo,Contenido ambiguo,0.45,,0.0,No se puede determinar con certeza,usuario_test
2026-08-24T20:55:28.046046,c45e78bf-b1fc-42d7-b7b3-40b8462f8c57,d23f0cc0-a798-4254-a210-2f6b735fc802,0,parrafo,aceptar,Springer Undergraduate Mathematics Series,Springer Undergraduate Mathematics Series,0.95,,0.95,Aceptado como está,usuario_test
2026-08-24T20:55:28.050078,cacfabea-e109-4d53-ade8-7c743386ddef,d23f0cc0-a798-4254-a210-2f6b735fc802,0,formula_inline,editar,x^2 + y^2 = z^2,x^{2} + y^{2} = z^{2},0.72,,0.88,Corregido formato LaTeX de exponentes,usuario_test
2026-08-24T20:55:28.050078,95839ef6-d0c9-4ce4-854b-b76a98edf5a1,d23f0cc0-a798-4254-a210-2f6b735fc802,0,parrafo,escalar,Contenido ambiguo,Contenido ambiguo,0.45,,0.0,No se puede determinar con certeza,usuario_test
